"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.43.39","192.168.43.10","MQTT","56","Ping Request"
"2","0.001987","192.168.43.10","192.168.43.39","MQTT","60","Ping Response"
"3","0.041655","192.168.43.39","192.168.43.10","TCP","54","60597  >  1883 [ACK] Seq=3 Ack=3 Win=541 Len=0"
"4","24.134995","192.168.43.39","192.168.43.10","TCP","66","61488  >  3000 [SYN] Seq=0 Win=17520 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"5","24.135230","192.168.43.10","192.168.43.39","TCP","66","3000  >  61488 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"6","24.297035","192.168.43.39","192.168.43.10","TCP","54","61488  >  3000 [ACK] Seq=1 Ack=1 Win=17408 Len=0"
"7","24.297483","192.168.43.39","192.168.43.10","HTTP","478","GET /mqtt HTTP/1.1 "
"8","24.297831","192.168.43.10","192.168.43.39","TCP","60","3000  >  61488 [ACK] Seq=1 Ack=425 Win=30336 Len=0"
"9","24.298737","192.168.43.10","192.168.43.39","HTTP","213","HTTP/1.1 101 Switching Protocols "
"10","24.753577","192.168.43.10","192.168.43.39","TCP","213","[TCP Retransmission] 3000  >  61488 [PSH, ACK] Seq=1 Ack=425 Win=30336 Len=159"
"11","24.815754","192.168.43.39","192.168.43.10","WebSocket","82","WebSocket Binary [FIN] [MASKED]"
"12","24.817417","192.168.43.10","192.168.43.39","WebSocket","60","WebSocket Binary [FIN] "
"13","24.987463","192.168.43.39","192.168.43.10","WebSocket","87","WebSocket Binary [FIN] [MASKED]"
"14","24.989057","192.168.43.10","192.168.43.39","WebSocket","61","WebSocket Binary [FIN] "
"15","25.230243","192.168.43.39","192.168.43.10","WebSocket","763","WebSocket Binary [FIN] [MASKED]"
"16","25.231324","192.168.43.10","192.168.43.39","MQTT","755","Publish Message"
"17","25.236357","192.168.43.39","192.168.43.10","TCP","1514","60597  >  1883 [ACK] Seq=3 Ack=704 Win=547 Len=1460 [TCP segment of a reassembled PDU]"
"18","25.236393","192.168.43.39","192.168.43.10","MQTT","1361","Publish Message"
"19","25.236927","192.168.43.10","192.168.43.39","TCP","60","1883  >  60597 [ACK] Seq=704 Ack=2770 Win=358 Len=0"
"20","25.238396","192.168.43.10","192.168.43.39","TCP","1514","3000  >  61488 [ACK] Seq=173 Ack=1195 Win=31744 Len=1460 [TCP segment of a reassembled PDU]"
"21","25.238477","192.168.43.10","192.168.43.39","WebSocket","1365","WebSocket Binary [FIN] "
"22","25.394170","192.168.43.39","192.168.43.10","TCP","54","61488  >  3000 [ACK] Seq=1195 Ack=2944 Win=17408 Len=0"
"23","56.959664","192.168.43.39","192.168.43.10","TCP","54","61488  >  3000 [FIN, ACK] Seq=1195 Ack=2944 Win=17408 Len=0"
"24","56.960636","192.168.43.10","192.168.43.39","TCP","60","3000  >  61488 [FIN, ACK] Seq=2944 Ack=1196 Win=31744 Len=0"
"25","57.405966","192.168.43.39","192.168.43.10","TCP","54","[TCP Retransmission] 61488  >  3000 [FIN, ACK] Seq=1195 Ack=2944 Win=17408 Len=0"
"26","57.406309","192.168.43.10","192.168.43.39","TCP","66","[TCP Dup ACK 24#1] 3000  >  61488 [ACK] Seq=2945 Ack=1196 Win=31744 Len=0 SLE=1195 SRE=1196"
"27","57.424858","192.168.43.10","192.168.43.39","TCP","60","[TCP Retransmission] 3000  >  61488 [FIN, ACK] Seq=2944 Ack=1196 Win=31744 Len=0"
"28","57.488474","192.168.43.39","192.168.43.10","TCP","54","61488  >  3000 [ACK] Seq=1196 Ack=2945 Win=17408 Len=0"
"29","57.569501","192.168.43.39","192.168.43.10","TCP","54","[TCP ZeroWindow] 61488  >  3000 [ACK] Seq=1196 Ack=2945 Win=0 Len=0"
"30","57.569794","192.168.43.10","192.168.43.39","TCP","60","3000  >  61488 [RST] Seq=2945 Win=0 Len=0"
